Step	MaxChange
1	0.0535162
2	0.0066067
3	0.00186215
4	0.00105778
5	0.000672026
6	0.000493025
7	0.000366954
8	0.00027776
9	0.000214765
10	0.000180128
11	0.000152308
12	0.000129035
13	0.000109513
14	9.33819e-05
15	7.98614e-05
16	6.84924e-05
17	5.90163e-05
18	5.10208e-05
19	4.5299e-05
20	4.03798e-05
21	3.6101e-05
22	3.23548e-05
23	2.90951e-05
24	2.6222e-05
25	2.36961e-05
26	2.14675e-05
27	1.94957e-05
28	1.77498e-05
29	1.61996e-05
30	1.48185e-05
31	1.35907e-05
32	1.24874e-05
33	1.1507e-05
34	1.06879e-05
35	1.01666e-05
36	9.66075e-06
37	9.17207e-06
38	8.70154e-06
39	8.24983e-06
40	7.81725e-06
41	7.40387e-06
42	7.00956e-06
43	6.63403e-06
44	6.27717e-06
45	5.93886e-06
46	5.61777e-06
47	5.31325e-06
48	5.02463e-06
49	4.75122e-06
50	4.49234e-06
51	4.2473e-06
52	4.01542e-06
53	3.79602e-06
54	3.58848e-06
55	3.39222e-06
56	3.20714e-06
57	3.032e-06
58	2.86626e-06
59	2.7094e-06
60	2.56093e-06
61	2.42037e-06
62	2.28729e-06
63	2.16125e-06
64	2.04186e-06
65	1.92875e-06
66	1.82155e-06
67	1.71993e-06
68	1.66193e-06
69	1.64159e-06
70	1.6212e-06
71	1.60079e-06
72	1.5804e-06
73	1.56013e-06
74	1.54018e-06
75	1.52033e-06
76	1.50061e-06
77	1.48102e-06
78	1.46175e-06
79	1.44279e-06
80	1.42402e-06
81	1.40545e-06
82	1.3871e-06
83	1.36918e-06
84	1.35153e-06
85	1.33411e-06
86	1.31693e-06
87	1.3e-06
88	1.28349e-06
89	1.26727e-06
90	1.25129e-06
91	1.23557e-06
92	1.22009e-06
93	1.20491e-06
94	1.19011e-06
95	1.17555e-06
96	1.16124e-06
97	1.14717e-06
98	1.13334e-06
99	1.11976e-06
100	1.10645e-06
101	1.09346e-06
102	1.0807e-06
103	1.06817e-06
104	1.05586e-06
105	1.04378e-06
106	1.03191e-06
107	1.02027e-06
108	1.00884e-06
109	9.97615e-07
